Date_Time,Cell42,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:29:10,0.133,0.133,Cell42
2022-10-10 12:29:55,0.036,0.036,Cell42
2022-10-10 12:29:58,0.034,0.034,Cell42
2022-10-10 12:30:21,0.025,0.025,Cell42
2022-10-10 12:30:51,0.019,0.019,Cell42
2022-10-10 12:34:01,0.008,0.008,Cell42
2022-10-10 12:42:04,0.002,0.002,Cell42
2022-10-10 13:02:22,0.033,0.033,Cell42
2022-10-10 13:02:28,0.03,0.03,Cell42
2022-10-10 13:34:13,0.126,0.126,Cell42
2022-10-10 13:34:48,0.039,0.039,Cell42
2022-10-10 13:35:47,0.019,0.019,Cell42
2022-10-10 13:35:49,0.018,0.018,Cell42
2022-10-10 13:37:34,0.011,0.011,Cell42
2022-10-10 13:48:35,0.071,0.071,Cell42
2022-10-10 14:05:32,0.959,0.959,Cell42
